smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle
CC(=O)C=C=C1C(C)(C)CC(O)CC1(C)OC1OC(CO)C(O)C(O)C1O,-0.762,-0.113,-0.46,0.001,0.549,0.867,0.003,0.185,-5.118,0.00044722523307427764,0.352,36.04530334472656%,0.693,44.21504592895508%,0.002,0.145,0.007,0.763,0.002,0.125,0.0,0.055,0.006,0.04,1.691,0.582,0.01,0.178,0.044,0.686,0.051,0.115,0.158,0.732,0.003,0.011,0.881,0.384,2.144,2.062,4.122,0.229,0.042,0.008,0.083,0.17,0.025,0.089,0.07,0.031,0.01,0.035,0.02,386.19,382.48,1.01,8,5,136.68,4,2,6,8,0,15,0.267,7,2,0,2,0,1,4,2,0,0.32,4.943,0.789,51.765,2.263,1,0,0,0,Accepted,Accepted,Accepted,Accepted
CC(=O)c1[nH]ccc2c1[nH]c1cc(=O)ccc12,-3.873,1.384,1.545,0.005,0.002,0.009,0.004,0.394,-5.016,7.149618340918096e-06,0.65,67.3714828491211%,1.144,23.68248176574707%,0.987,0.832,0.608,0.065,0.255,0.854,0.495,0.776,0.515,0.162,6.335,0.681,0.018,0.677,0.944,0.387,0.95,0.695,0.909,0.267,0.069,0.975,0.987,0.412,3.664,4.403,5.468,0.01,0.003,0.964,0.885,0.088,0.048,0.037,0.542,0.366,0.772,0.449,0.83,226.07,228.854,0.988,4,2,65.72,1,3,13,4,0,17,0.059,0,1,1,0,0,1,0,2,3,0.625,2.784,0.077,16.0,0.483,0,1,0,0,Accepted,Accepted,Accepted,Accepted
CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,-1.591,0.673,0.873,0.0,0.018,0.146,0.006,0.039,-5.206,0.0003822841099463403,0.269,16.161386489868164%,2.449,79.46456909179688%,0.013,0.068,0.016,0.824,0.002,0.698,0.305,0.763,0.053,0.751,9.953,0.305,0.224,0.672,0.06,0.022,0.044,0.945,0.197,0.077,0.003,0.009,0.611,0.616,2.824,3.11,4.408,0.018,0.001,0.005,0.001,0.515,0.644,0.007,0.027,0.003,0.004,0.008,0.003,305.16,312.531,0.976,5,2,70.0,5,3,7,5,0,16,0.312,5,0,0,0,0,0,0,0,0,0.809,4.467,0.588,59.815,1.624,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CN1C2CC(OC(=O)C(O)(CO)c3ccccc3)CC1C1OC12,-2.394,1.219,1.324,0.0,0.016,0.095,0.056,0.281,-5.533,0.00012728999718092382,0.3,20.28917121887207%,2.202,69.76129150390625%,0.027,0.078,0.028,0.706,0.014,0.039,0.442,0.475,0.094,0.802,10.331,0.082,0.091,0.235,0.04,0.038,0.379,0.86,0.063,0.072,0.003,0.007,0.371,0.422,2.063,2.795,3.739,0.007,0.003,0.008,0.003,0.411,0.287,0.004,0.054,0.006,0.003,0.007,0.1,319.14,312.764,1.02,6,2,82.53,5,4,8,6,0,18,0.278,5,2,1,2,0,2,2,2,5,0.601,4.885,0.588,80.926,1.407,0,0,0,0,Accepted,Accepted,Accepted,Accepted
N=c1[nH]cnc2c1ncn2C1OC(CO)C(O)C1O,-1.714,-0.914,-2.28,0.001,0.963,0.993,0.757,0.64,-5.693,1.6082027286756784e-05,0.746,13.252842903137207%,1.134,77.32337951660156%,0.015,0.232,0.032,0.061,0.001,0.422,0.008,0.077,0.008,0.034,3.596,0.852,0.02,0.762,0.975,0.13,0.658,0.023,0.096,0.096,0.003,0.011,0.961,0.149,1.492,2.256,2.794,0.004,0.002,0.27,0.919,0.113,0.119,0.032,0.408,0.053,0.053,0.04,0.912,267.1,235.446,1.134,9,5,140.27,2,3,9,9,0,16,0.125,4,1,0,0,0,0,0,1,0,0.42,4.159,0.5,60.067,1.259,0,0,0,0,Accepted,Accepted,Accepted,Accepted
CC1OC(OC2C(CO)OC(OC3CCC4(C)C(CCC5C4CCC4(C)C5CC5OC6(CCC(COC7OC(CO)C(O)C(O)C7O)CO6)C(C)C54)C3)C(OC3OC(C)C(O)C(O)C3O)C2O)C(O)C(O)C1O,-1.404,0.725,-0.979,0.728,0.034,0.998,0.957,0.999,-6.13,0.00033532906672917306,0.084,36.82456970214844%,-0.29,10.170992851257324%,0.0,0.09,0.0,0.06,0.0,0.034,0.0,0.103,0.002,0.01,0.159,0.027,0.056,0.157,0.014,0.083,0.878,0.081,0.003,0.036,0.003,0.001,0.05,1.721,4.979,5.431,5.581,0.0,0.074,0.0,0.648,0.267,0.775,0.047,0.384,0.777,0.03,0.907,0.695,1048.55,998.472,1.05,22,12,335.06,11,10,20,22,0,54,0.204,32,1,0,0,0,2,2,1,0,0.101,7.181,1.0,261.333,2.059,0,1,0,0,Rejected,Accepted,Rejected,Rejected
O=C(C(O)C(O)O)C(O)C(O)CO,0.101,-2.58,-2.669,0.004,0.49,0.39,0.583,0.968,-5.378,0.003847592743113637,0.607,11.653549194335938%,0.681,77.72312927246094%,0.007,0.023,0.009,0.053,0.001,0.081,0.001,0.087,0.003,0.004,1.225,0.914,0.197,0.118,0.711,0.053,0.005,0.002,0.04,0.003,0.003,0.015,0.026,-0.221,0.305,-0.392,0.816,0.016,0.006,0.004,0.003,0.211,0.044,0.002,0.008,0.008,0.002,0.01,0.003,196.06,171.228,1.145,7,6,138.45,5,0,0,7,0,1,5.0,3,1,0,0,0,2,2,2,0,0.246,4.06,0.833,5.0,0.866,0,1,0,0,Accepted,Accepted,Accepted,Rejected
CC(C)C(=O)C(O)O,0.038,-0.965,0.107,0.0,0.268,0.009,0.035,0.02,-4.635,0.001856636255979538,0.522,27.41990089416504%,1.102,74.92711639404297%,0.02,0.413,0.02,0.819,0.005,0.113,0.006,0.212,0.005,0.138,3.383,0.875,0.011,0.193,0.804,0.31,0.054,0.162,0.49,0.225,0.028,0.985,0.396,0.245,0.69,3.532,1.981,0.015,0.002,0.012,0.003,0.134,0.007,0.004,0.014,0.004,0.004,0.006,0.003,118.06,118.771,0.994,3,2,57.53,2,0,0,3,0,1,2.0,0,1,0,0,0,2,2,2,0,0.481,2.885,0.8,0.0,0.644,0,1,0,0,Accepted,Accepted,Accepted,Rejected
O=C1C(O)COC1O,-0.319,-1.639,-1.351,0.003,0.08,0.01,0.1,0.025,-5.084,0.0009779134998098016,0.327,7.856926441192627%,1.733,87.00462341308594%,0.015,0.281,0.029,0.229,0.005,0.144,0.012,0.195,0.005,0.054,1.624,0.846,0.017,0.139,0.909,0.789,0.14,0.149,0.379,0.056,0.283,0.944,0.288,0.2,1.388,3.237,2.546,0.03,0.122,0.011,0.011,0.071,0.005,0.019,0.018,0.01,0.006,0.013,0.004,118.03,101.708,1.16,4,2,66.76,0,1,5,4,0,6,0.0,2,2,0,0,0,2,2,0,0,0.396,4.462,0.75,17.143,1.462,0,0,0,0,Accepted,Accepted,Accepted,Rejected
COC(=O)C1=COC(OC2OC(CO)C(O)C(O)C2O)C2C1C(O)C(O)C2(C)O,-0.383,-0.394,-1.913,0.0,0.901,0.981,0.541,0.997,-6.014,0.00030913372756913304,0.489,21.043611526489258%,0.271,56.89784240722656%,0.003,0.055,0.006,0.266,0.0,0.069,0.002,0.098,0.006,0.022,1.348,0.538,0.026,0.224,0.908,0.101,0.529,0.047,0.01,0.77,0.003,0.006,0.477,0.377,1.477,1.649,4.057,0.013,0.095,0.006,0.003,0.09,0.073,0.003,0.027,0.59,0.005,0.103,0.011,422.14,377.129,1.119,12,7,195.6,5,3,9,12,0,17,0.294,11,1,0,0,0,2,5,1,1,0.217,4.96,0.824,65.032,2.576,1,1,0,0,Rejected,Accepted,Rejected,Accepted
