,SMILES
0,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
1,CC(C)CC=C(C=O)C1=CC=CC=C1
2,CC1=NC=CN=C1
3,CC1=NC=CN=C1C2=CC=CO2
4,CC1=CN=C(C=N1)C
5,CCC1=NC=C(N=C1)C
6,COC1=CC2=C(C=C1C3C4COC(C4CO3)C5=CC6=C(C=C5)OCO6)OCO2
7,CC1=CC=C(C=C1)C(C)C
8,COC(=O)C1=CC=CC=C1O
9,C1CCN(CC1)CCCCC(C2=CC=CC=C2)NC(=O)C3=CC=CC=C3
10,C1=CC=C(C(=C1)C(=O)O)C(=O)O
11,C1=CSC(=C1)C(=O)NC2=NON=C2NC(=O)C3=CC=CS3
12,CN1C(=O)C2=CC=CC=C2CS1(=O)=O
13,CC1=CC=C(C=C1)C(C)(C)O
14,C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N
15,CCOC(=O)C1=CC=CC=C1C(=O)OCC
16,CCC1=CC=CC=C1C
17,CC1=CC(=C(C=C1)C)C
18,C1=CC=C(C(=C1)C(=O)O)O
19,CCC(=O)CC1=CC=CC=C1
20,C1=CC(=C(C(=C1)F)C(=O)OC2=CC(=CC(=C2)F)F)F
21,C1=CC(=C(C(=C1)F)C(=O)O)F
22,CC12CCCC3(C1C(CC4(C3(CCC5=COC=C5)O)CO4)OC2=O)C
23,CC12CCCC3(C1C(CC(C3(CCC4=COC=C4)O)(C)O)OC2=O)C
24,CC1CC(C2C3(CCCC2(C1(CCC4=COC=C4)O)COC3=O)C)OC(=O)C
25,C1=CC(=CC=C1C(=O)O)[O-]
26,CCC1=CC=C(C=C1)OCC(CN2C3=C(N=C2N(C)C)N(C(=O)NC3=O)C)O[Si](C)(C)C
27,C1=CC=C2C(=C1)C3=C(C2(C(=O)O)O)C=C(C=C3)Cl
28,CC(C(=O)NN)N1C=C(C=N1)[N+](=O)[O-]
29,CC1=CC(=C(C=C1)C(=O)O)N
30,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O
31,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O
32,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O
33,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O
34,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC
35,CC1CC2C(CC=C1CCC(=O)C)C(=C)C(=O)O2
36,CC1CC2C(CC=C1CCC(=O)C)C(=C)C(=O)O2
37,CCC1=C(C=C(N=C1)C)N
38,CC1=NC2=C(C=C1)C(=C(C=C2N)OC)OC3=CC=C(C=C3)Cl
39,C[N+]1=CC=CC(=C1)C(=O)[O-]
40,CC=C1CN2C3CC1C(C2CC4=C3NC5=CC=CC=C45)(CO)C(=O)OC
41,C1=CC(=O)OC=C1
42,C1=CC=C2C(=C1)C(=O)OC2=O
43,C1=CC=C(C=C1)C(C(=O)O)O
44,CC1=C(C(S(=O)(=O)C1)CC=C)C
45,CC1=CC=C(C=C1)C(C)CO
46,CC1C(C2C(=C(C(=O)O2)C)C3=C1C=C(C(=C3)C)OC)O
47,CC1=CC=CC2=CC(=CN12)C3=CC=CC=C3
48,CC1=CC2=C(N1)C(=CC=C2)C3=CC=CC=C3
49,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)CC2=CC=CC=C2
50,CC(C)OC1=C(C=C(C(=C1)N2C(=O)OC(=N2)C(C)(C)C)Cl)Cl
51,CC(C1=CC=CC=C1)OC(=O)C
52,CC(C)C1=CC=C(C=C1)CO
53,CC1=CC(=C(C=C1)C(=O)C)C
54,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C=C3OC)OC
55,COC1=C(C=C2C(=C1)C(=O)C3=CC=CC=C3O2)OC
56,COC1=CC2=C(C=C1)NC(=O)O2
57,CC1(CCCC2(C1CCC3=C2COC3=O)C)C
58,COC(=O)C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O
59,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
60,C1CC(=O)OC2=CC=CC=C21
