smiles,LogS,LogD,LogP,Pgp-inh,Pgp-sub,HIA,F(20%),F(30%),Caco-2,MDCK,BBB,PPB,VDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CL,T12,hERG,H-HT,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,BCF,IGC50,LC50,LC50DM,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,Toxicophores,Genotoxic_Carcinogenicity_Mutagenicity,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,toxicity_score
CC(=O)C=C=C1C(C)(C)CC(O)CC1(C)O,-1.325,1.103,0.943,0.103,0.192,0.014,0.002,0.002,-4.601,3.205203029210679e-05,0.96,56.66399383544922%,1.455,40.41432189941406%,0.007,0.343,0.017,0.817,0.026,0.126,0.001,0.055,0.008,0.17,5.692,0.741,0.009,0.276,0.048,0.528,0.022,0.753,0.92,0.915,0.189,0.533,0.945,0.446,1.646,2.435,4.162,0.442,0.045,0.01,0.192,0.088,0.007,0.043,0.137,0.015,0.018,0.076,0.015,224.14,243.309,0.921,3,2,57.53,1,1,6,3,0,9,0.111,2,1,0,2,0,0,3,2,0,0.525,4.285,0.692,29.455,2.541,1,0,0,0,Accepted,Accepted,Accepted,Accepted,4
CC1=CC(=O)CC(C)(C)C1(O)C=CC(C)O,-1.566,1.226,1.225,0.002,0.019,0.009,0.002,0.001,-4.472,2.5681776605779305e-05,0.932,68.41739654541016%,1.232,34.466922760009766%,0.019,0.463,0.074,0.874,0.033,0.334,0.002,0.358,0.015,0.607,3.339,0.779,0.01,0.163,0.128,0.023,0.36,0.126,0.188,0.886,0.004,0.096,0.348,0.546,1.987,2.902,3.461,0.36,0.031,0.011,0.115,0.099,0.007,0.027,0.044,0.005,0.025,0.174,0.013,224.14,243.309,0.921,3,2,57.53,2,1,6,3,0,8,0.25,2,1,1,0,0,3,3,1,1,0.7,4.159,0.615,27.429,3.112,1,0,0,0,Accepted,Accepted,Accepted,Accepted,1
C=C1C(=O)OC2CC1(C)OCC2C1CCC2C3CC=C4C=CCC(=O)C4(C)C3CCC12C,-5.267,4.573,4.201,0.998,0.0,0.034,0.011,0.038,-4.933,1.912415973492898e-05,0.32,95.62076568603516%,1.478,3.175837278366089%,0.028,0.706,0.406,0.956,0.471,0.174,0.046,0.533,0.847,0.919,19.976,0.1,0.545,0.392,0.271,0.007,0.214,0.921,0.218,0.687,0.003,0.008,0.927,1.47,3.933,3.82,4.061,0.089,0.891,0.002,0.765,0.339,0.939,0.938,0.941,0.636,0.669,0.903,0.964,436.26,463.484,0.941,4,0,52.6,1,6,17,4,0,33,0.03,9,2,0,0,0,3,5,1,1,0.419,5.87,0.714,100.208,3.174,2,2,0,0,Accepted,Rejected,Rejected,Accepted,9
CC(=O)OCC1=C(C)CC(C(COC(C)=O)C2CCC3C4CC5OC56C=CCC(=O)C6(C)C4CCC23C)OC1=O,-4.954,4.278,3.72,0.999,0.001,0.042,0.837,0.972,-4.915,1.668447112024296e-05,0.879,74.56002044677734%,0.765,16.788864135742188%,0.015,0.125,0.177,0.793,0.324,0.074,0.029,0.311,0.78,0.829,12.704,0.167,0.038,0.171,0.681,0.016,0.874,0.881,0.045,0.698,0.003,0.011,0.635,0.659,4.569,5.521,5.12,0.036,0.518,0.01,0.79,0.103,0.837,0.283,0.778,0.644,0.565,0.806,0.966,554.29,565.192,0.981,8,0,108.5,8,6,18,8,0,32,0.25,10,3,1,2,0,8,7,3,7,0.204,5.93,0.75,142.857,2.601,2,0,0,0,Accepted,Accepted,Rejected,Rejected,7
CC1=C(CO)C(=O)OC(C(CO)C2CCC3C4CC(O)C5(O)C=CCC(=O)C5(C)C4CCC23C)C1,-4.179,2.029,2.028,0.002,0.033,0.74,0.004,0.019,-4.801,3.517743607517332e-05,0.85,67.38391876220703%,0.521,19.24561309814453%,0.011,0.205,0.015,0.634,0.018,0.193,0.005,0.216,0.487,0.654,4.86,0.383,0.015,0.369,0.135,0.018,0.826,0.812,0.028,0.102,0.003,0.008,0.256,0.273,2.197,2.968,4.752,0.656,0.433,0.015,0.779,0.097,0.314,0.016,0.517,0.073,0.282,0.948,0.636,488.28,501.048,0.975,7,4,124.29,4,5,17,7,0,28,0.143,10,1,0,0,0,5,5,1,2,0.354,5.513,0.786,92.4,3.213,2,0,0,0,Accepted,Accepted,Rejected,Accepted,4
CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,-7.052,6.329,7.663,0.341,0.001,0.004,0.01,0.233,-4.756,8.627954230178148e-06,0.84,98.31399536132812%,1.963,1.484736680984497%,0.044,0.491,0.074,0.958,0.096,0.314,0.005,0.409,0.202,0.784,16.686,0.013,0.049,0.16,0.203,0.026,0.018,0.73,0.133,0.047,0.003,0.01,0.536,2.963,4.984,5.365,6.231,0.002,0.003,0.0,0.015,0.374,0.92,0.009,0.117,0.001,0.043,0.874,0.013,414.39,482.068,0.86,1,1,20.23,6,4,17,1,0,20,0.3,9,0,0,0,0,0,1,0,0,0.436,4.388,0.931,68.464,2.681,0,0,0,0,Accepted,Rejected,Rejected,Rejected,3
CC(C1CC2(C)OC2(C)C(O)O1)C1CCC2C3C4OC4C4(O)C=CCC(=O)C4(C)C3CCC12C,-4.418,3.246,3.072,0.461,0.005,0.028,0.007,0.579,-4.9,4.929635542794131e-05,0.985,86.7398452758789%,1.501,10.309707641601562%,0.004,0.931,0.015,0.945,0.055,0.04,0.003,0.32,0.576,0.862,18.046,0.091,0.021,0.264,0.05,0.053,0.957,0.718,0.023,0.926,0.003,0.005,0.945,1.551,3.624,4.468,5.264,0.004,0.472,0.001,0.933,0.125,0.81,0.653,0.31,0.393,0.742,0.978,0.975,472.28,480.417,0.983,6,2,91.82,2,7,18,6,0,31,0.065,14,3,1,2,0,5,5,1,5,0.473,5.867,0.893,124.981,3.313,0,0,0,0,Accepted,Accepted,Rejected,Accepted,9
Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,-0.83,-0.861,-1.108,0.0,0.026,0.677,0.021,0.071,-5.596,0.0006948171649128,0.685,11.146550178527832%,0.424,78.74354553222656%,0.011,0.504,0.025,0.062,0.003,0.413,0.006,0.126,0.005,0.106,8.372,0.858,0.007,0.803,0.981,0.017,0.012,0.027,0.049,0.027,0.003,0.014,0.009,0.297,1.3,1.982,3.43,0.007,0.002,0.003,0.005,0.128,0.016,0.003,0.05,0.013,0.004,0.005,0.66,242.09,222.439,1.088,7,3,104.55,2,2,6,7,0,13,0.154,3,1,0,0,0,0,0,0,0,0.584,3.376,0.6,45.5,1.038,0,0,0,0,Accepted,Accepted,Accepted,Accepted,1
CC(C)CCCC(C)C1CCC2C3CC=C4C(Cl)C(=O)CCC4(C)C3CCC12C,-7.086,6.519,7.421,0.081,0.0,0.004,0.007,0.227,-4.784,7.275928055605618e-06,0.967,100.2632064819336%,2.733,1.8831398487091064%,0.072,0.52,0.099,0.964,0.148,0.704,0.014,0.371,0.248,0.437,15.201,0.023,0.015,0.116,0.663,0.048,0.72,0.709,0.192,0.214,0.004,0.016,0.968,3.061,5.147,6.586,6.239,0.008,0.009,0.0,0.362,0.23,0.828,0.052,0.301,0.006,0.275,0.887,0.108,418.3,460.051,0.909,1,0,17.07,5,4,17,2,0,21,0.238,8,2,2,0,0,2,4,1,3,0.328,4.46,0.889,68.824,2.212,0,2,0,0,Accepted,Rejected,Rejected,Rejected,5
CC1(O)C(O)C(O)C(O)C(O)C1O,-0.68,-1.735,-2.361,0.001,0.301,0.923,0.059,0.914,-5.28,0.0029861342627555,0.748,13.940287590026855%,0.689,76.88824462890625%,0.017,0.027,0.004,0.059,0.001,0.09,0.002,0.117,0.003,0.008,1.517,0.541,0.082,0.035,0.064,0.057,0.025,0.002,0.024,0.007,0.003,0.016,0.024,0.081,0.802,0.15,2.366,0.13,0.003,0.007,0.003,0.366,0.123,0.003,0.02,0.016,0.005,0.007,0.004,194.08,173.813,1.117,6,6,121.38,0,1,6,6,0,6,0.0,4,0,0,0,0,0,1,0,0,0.238,3.884,1.0,31.429,2.056,0,0,0,0,Accepted,Accepted,Accepted,Rejected,0
