,Smiles,Molecule ChEMBL ID
0,CS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc3c(c2)OCO3)cc1,CHEMBL416126
1,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1,CHEMBL143776
2,CC1(C)OC(=O)C(Oc2ccc3[nH]ccc3c2)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL322276
3,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C1CCCCC1,CHEMBL43864
4,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cc(Cl)cc(Cl)c2)cc1,CHEMBL45090
5,NS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(F)cc2)cc1,CHEMBL29257
6,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1C,CHEMBL43493
7,CS(=O)(=O)c1ccc(-c2nc(NCC3CC=CCC3)cc(C(F)(F)F)n2)cc1,CHEMBL257054
8,NS(=O)(=O)c1ccc(-c2nc(NCC3CCCCC3)cc(C(F)(F)F)n2)cc1,CHEMBL408897
9,CS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)c(F)c3)CCC2)cc1,CHEMBL323732
10,Cn1c(Br)cc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,CHEMBL129861
11,Cc1ncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)s1,CHEMBL320926
12,CCSc1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,CHEMBL408788
13,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,CHEMBL416146
14,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1,CHEMBL108452
15,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,CHEMBL117295
16,CS(=O)(=O)c1ccc(-c2ccccc2Oc2ccccc2)cc1,CHEMBL172364
17,C=CCn1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1C(F)(F)F,CHEMBL66856
18,COc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,CHEMBL286953
19,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)C(=O)CC2)cc1,CHEMBL23808
20,COc1ccc2c(c1)c(Cc1nc(-c3ccc(F)cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL283660
21,CC(C)=CCc1cc(/C=C/c2cc(O)cc(O)c2)c(O)cc1O,CHEMBL463126
22,O=C(NNc1ccc(Cl)cc1)c1ccc(Cl)cc1,CHEMBL422530
23,CSCc1cn(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(Cl)cc2)n1,CHEMBL43933
24,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2F)cc1,CHEMBL117650
25,C[C@H]1C(Cn2ncc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)c2=O)[C@@H]1C,CHEMBL440001
26,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1F,CHEMBL42180
27,NS(=O)(=O)c1ccc(-n2nc(C(F)F)cc2-c2ccccc2)cc1,CHEMBL29445
28,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,CHEMBL122
29,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,CHEMBL404108
30,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1C(F)(F)F,CHEMBL258738
31,CS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)cc2)cc1,CHEMBL442164
32,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL118
33,N#Cc1c(N=Cc2cccnc2)c(C(=O)Nc2ccc(Cl)cc2)n2c1CCC2,CHEMBL4074351
34,COc1ccc2c(c1)c(CC(=O)Oc1ccc(NC(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL97562
35,CS(=O)(=O)c1ccc(-c2ccccc2-c2ccc(Cl)cc2)cc1,CHEMBL55188
36,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,CHEMBL92154
37,CS(=O)(=O)c1ccc(-n2cc(C#N)nc2-c2cccnc2)cc1,CHEMBL320318
38,Cn1cccc1C(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,CHEMBL119720
39,CS(=O)(=O)c1ccc(C2=C(c3ccc(Cl)cc3Cl)CCC2)cc1,CHEMBL108975
40,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCCC3)C2)cc1,CHEMBL327900
41,Oc1ccc(-c2nc(-c3ccc(O)cc3Cl)cn2-c2ccc(O)cc2)cc1,CHEMBL195887
42,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,CHEMBL6
43,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(Nc3ccccc3)n2)cc1,CHEMBL561950
44,CS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nc(NC3CCCCC3)n2)cc1,CHEMBL561891
45,Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1,CHEMBL512578
46,Cc1cnn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccccc1,CHEMBL280573
47,CS(=O)(=O)c1ccc(-c2sc(-c3ccccc3Cl)nc2-c2cccc(F)c2)cc1,CHEMBL279752
48,O=C1/C(=C/c2ccc(N3CCCC3)cc2)CCC/C1=C\c1ccc(N2CCCC2)cc1,CHEMBL3309953
49,CS(=O)(=O)c1ccc(-n2nnnc2-c2ccccc2)cc1,CHEMBL1956389
50,Cc1ccc(-c2nnnn2-c2ccc(S(C)(=O)=O)cc2)cc1,CHEMBL1956390
51,CS(=O)(=O)c1ccc(-n2nnnc2-c2ccc(F)cc2)cc1,CHEMBL1956392
52,CS(=O)(=O)c1ccc(-n2nnnc2-c2ccc([N+](=O)[O-])cc2)cc1,CHEMBL1956395
53,CC(C)CN(C)c1cc2c(cc1Cl)C=C(C(=O)O)[C@@H](C(F)(F)F)O2,CHEMBL1630256
54,CC1(C)C(=O)C(c2ccccc2)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL420987
55,CCc1cc(/C=C/S(N)(=O)=O)cc(C(=O)c2ccccc2)c1,CHEMBL151128
56,COc1ccc(-c2c(-c3ccc(S(C)(=O)=O)cc3)oc3ccccc23)cc1F,CHEMBL312221
57,CC1(C)OC(=O)C(Oc2cccnc2)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL110514
58,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1C,CHEMBL300601
59,CC1(C)CC(c2ccc(F)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1,CHEMBL89578
60,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,CHEMBL563
61,Cc1nc(-c2ccc(F)cc2)c(-c2ccc(S(N)(=O)=O)c(F)c2)o1,CHEMBL289653
62,CC1(C)OC(=O)C(Oc2ccc(F)c(F)c2)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL110401
63,CC1(C)OC(=O)C(Oc2ncc(Cl)cc2Cl)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL110824
64,C[C@H]1C[C@@H]1Cn1ncc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1=O,CHEMBL262744
65,NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2CF)cc1,CHEMBL371477
66,NS(=O)(=O)c1ccc(-c2c(-c3ccccc3)noc2CCF)cc1,CHEMBL196041
67,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CCC3)C2)cc1,CHEMBL171335
68,Cl.O=S(=O)(Nc1ccncc1NC1CCCCC1)C(F)(F)F,CHEMBL1204023
69,Cc1c(CC(F)(F)F)cc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,CHEMBL44038
70,C=CCc1cccc(-c2ccc(C(C)C(=O)O)cc2)c1,CHEMBL325787
71,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)c(F)c1,CHEMBL298208
72,CCOc1cc(OCC)cc(-c2ccc(C(C)C(=O)O)cc2)c1,CHEMBL104147
73,CS(=O)(=O)c1ccc(-c2sc(-c3ccccc3Cl)nc2-c2ccc(F)cc2F)cc1,CHEMBL17043
74,CNc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,CHEMBL29439
75,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccc3c(c2)OCO3)cc1,CHEMBL296447
76,CC1(C)OC(=O)C(Oc2ccc(F)cc2)=C1c1ccc(S(C)(=O)=O)cc1,CHEMBL324876
77,CS(=O)(=O)c1ccc(-c2cnn(Cc3cccs3)c(=O)c2-c2ccc(F)cc2)cc1,CHEMBL349564
78,CC(C)(C)c1cc(-c2nnc(SCCN)s2)cc(C(C)(C)C)c1O,CHEMBL274271
79,CS(=O)(=O)c1ccc(-c2sc(-c3ccccc3Cl)nc2-c2ccsc2)cc1,CHEMBL17179
80,Cc1ccc(Nc2c(Cl)cccc2Cl)c(CC(=O)O)c1,CHEMBL259218
81,CC(=O)Nc1ccc(O)cc1,CHEMBL112
82,Cc1ccc(OC2=C(c3ccc(S(C)(=O)=O)cc3)C(C)(C)OC2=O)nc1,CHEMBL320111
83,CCCCC(=C(c1ccccc1)c1ccccc1)c1ccc(S(C)(=O)=O)cc1,CHEMBL1221731
84,CCCC/C(=C(\c1ccccc1)c1ccc(N=[N+]=[N-])cc1)c1ccccc1,CHEMBL2283181
85,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)SC(Br)C2)cc1,CHEMBL2261940
86,CS(=O)(=O)c1ccc(-c2c(-c3ccccc3)sc3ncnn23)cc1,CHEMBL346094
