,Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Units,Standard Value,Activity
2,CHEMBL416126,CS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc3c(c2)OCO3)cc1,IC50,'=',nM,12.0,1
4,CHEMBL143776,Fc1ccc(-c2[nH]c(-c3ccc(F)cc3)c3c2C2CCC3C2)cc1,IC50,'=',nM,0.08,1
5,CHEMBL322276,CC1(C)OC(=O)C(Oc2ccc3[nH]ccc3c2)=C1c1ccc(S(C)(=O)=O)cc1,IC50,'=',nM,240.0,1
7,CHEMBL43864,Cc1ccc(-c2ccc(S(C)(=O)=O)cc2)n1C1CCCCC1,IC50,'=',nM,520.0,1
13,CHEMBL45090,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cc(Cl)cc(Cl)c2)cc1,IC50,'=',nM,169.82,1
14,CHEMBL29257,NS(=O)(=O)c1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(F)cc2)cc1,IC50,'=',nM,10.0,1
17,CHEMBL43493,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1C,IC50,'=',nM,331.13,1
20,CHEMBL257054,CS(=O)(=O)c1ccc(-c2nc(NCC3CC=CCC3)cc(C(F)(F)F)n2)cc1,IC50,'=',nM,32.9,1
22,CHEMBL408897,NS(=O)(=O)c1ccc(-c2nc(NCC3CCCCC3)cc(C(F)(F)F)n2)cc1,IC50,'=',nM,803.5,1
32,CHEMBL323732,CS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)c(F)c3)CCC2)cc1,IC50,'=',nM,760.0,1
34,CHEMBL129861,Cn1c(Br)cc(-c2ccc(F)cc2)c1-c1ccc(S(C)(=O)=O)cc1,IC50,'=',nM,35500.0,0
37,CHEMBL320926,Cc1ncc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)s1,IC50,'=',nM,430.0,1
38,CHEMBL408788,CCSc1cc(NCc2ccccc2)nc(-c2ccc(S(C)(=O)=O)cc2)n1,IC50,'=',nM,24.1,1
40,CHEMBL416146,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,IC50,'=',nM,810.0,1
41,CHEMBL108452,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccnc2)cc1,IC50,'=',nM,436.52,1
43,CHEMBL117295,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,IC50,'=',nM,8.0,1
45,CHEMBL172364,CS(=O)(=O)c1ccc(-c2ccccc2Oc2ccccc2)cc1,IC50,'=',nM,33000.0,0
46,CHEMBL66856,C=CCn1nc(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(F)cc2)c1C(F)(F)F,IC50,'=',nM,75.0,1
47,CHEMBL286953,COc1ccc(-c2cc(C(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,IC50,'=',nM,26.92,1
49,CHEMBL23808,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)C(=O)CC2)cc1,IC50,'=',nM,9.0,1
53,CHEMBL283660,COc1ccc2c(c1)c(Cc1nc(-c3ccc(F)cc3)cs1)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,'=',nM,12.0,1
56,CHEMBL463126,CC(C)=CCc1cc(/C=C/c2cc(O)cc(O)c2)c(O)cc1O,IC50,'=',nM,36700.0,0
57,CHEMBL422530,O=C(NNc1ccc(Cl)cc1)c1ccc(Cl)cc1,IC50,'=',nM,340.0,1
58,CHEMBL43933,CSCc1cn(-c2ccc(S(C)(=O)=O)cc2)c(-c2ccc(Cl)cc2)n1,IC50,'=',nM,323.59,1
59,CHEMBL117650,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccccc2F)cc1,IC50,'=',nM,28.0,1
61,CHEMBL440001,C[C@H]1C(Cn2ncc(-c3ccc(S(C)(=O)=O)cc3)c(-c3ccc(F)cc3)c2=O)[C@@H]1C,IC50,'=',nM,50.0,1
63,CHEMBL42180,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1F,IC50,'=',nM,109.65,1
68,CHEMBL29445,NS(=O)(=O)c1ccc(-n2nc(C(F)F)cc2-c2ccccc2)cc1,IC50,'=',nM,128.82,1
71,CHEMBL122,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,IC50,'=',nM,760.0,1
73,CHEMBL404108,Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1,IC50,'=',nM,107.0,1
74,CHEMBL258738,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1C(F)(F)F,IC50,'=',nM,166.0,1
77,CHEMBL442164,CS(=O)(=O)c1ccc(-c2cc(F)c(F)cc2-c2ccc(F)cc2)cc1,IC50,'=',nM,14.0,1
78,CHEMBL118,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,'=',nM,40.0,1
83,CHEMBL4074351,N#Cc1c(N=Cc2cccnc2)c(C(=O)Nc2ccc(Cl)cc2)n2c1CCC2,IC50,'=',nM,680.0,1
84,CHEMBL97562,COc1ccc2c(c1)c(CC(=O)Oc1ccc(NC(C)=O)cc1)c(C)n2C(=O)c1ccc(Cl)cc1,IC50,'=',nM,50.0,1
95,CHEMBL55188,CS(=O)(=O)c1ccc(-c2ccccc2-c2ccc(Cl)cc2)cc1,IC50,'=',nM,141.25,1
98,CHEMBL92154,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)cc3)CC3(CC3)C2)cc1,IC50,'=',nM,1.1,1
