GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
201,1990.93,4480.53,5624.08,558.6,279.28,-139.68,-4146.0,-34117.61,1859.34,22965.28,-6141.14,210.27,-645.26,-5930.87,-6576.13
202,1943.35,4482.91,5644.59,552.86,293.73,-143.76,-4103.51,-34476.96,1923.75,23132.78,-5967.4,213.01,-750.27,-5754.38,-6504.65
203,1952.07,4506.48,5667.63,560.17,316.1,-140.86,-4076.93,-34452.98,1894.11,23091.88,-6019.87,212.32,-682.34,-5807.55,-6489.89
204,2057.04,4437.1,5609.59,543.63,294.52,-129.99,-4168.44,-34387.86,1853.68,23050.58,-5954.48,211.24,-840.16,-5743.24,-6583.4
205,1907.6,4536.31,5679.07,553.25,307.27,-118.12,-4045.83,-34303.65,1902.47,23016.65,-6055.34,216.89,-564.97,-5838.45,-6403.43
206,1936.17,4449.93,5647.06,544.67,311.61,-107.4,-4114.15,-34486.9,1908.91,23135.5,-5927.52,211.46,-774.61,-5716.06,-6490.67
207,1899.85,4559.18,5574.36,551.44,286.39,-128.83,-4120.43,-34119.37,1888.89,22999.9,-6142.34,212.75,-608.61,-5929.6,-6538.21
208,1895.92,4509.72,5596.78,543.59,294.09,-123.65,-4092.44,-34244.52,1881.03,23054.65,-6089.74,211.64,-684.83,-5878.11,-6562.94
209,1947.93,4469.43,5673.62,553.46,288.15,-106.07,-4077.53,-34371.61,1918.2,23134.79,-6089.66,215.02,-569.63,-5874.63,-6444.26
210,1998.28,4501.91,5633.9,558.28,295.85,-93.84,-4060.91,-34423.44,1870.51,23117.88,-6017.11,213.55,-601.58,-5803.56,-6405.14
211,1949.41,4549.74,5617.73,562.39,307.14,-127.34,-4035.03,-34276.63,1894.8,23025.94,-6093.35,213.5,-531.84,-5879.85,-6411.69
212,2010.29,4457.1,5603.59,555.93,291.14,-114.33,-4079.65,-34231.12,1911.6,23095.99,-6119.63,212.55,-499.46,-5907.08,-6406.55
213,2017.44,4473.3,5608.2,555.69,301.78,-106.95,-4066.23,-34192.35,1900.5,23038.83,-6167.56,215.71,-469.8,-5951.85,-6421.65
214,1945.11,4465.65,5637.76,538.29,293.51,-115.39,-4101.22,-34353.01,1911.92,23100.23,-6052.23,212.5,-677.14,-5839.73,-6516.87
215,1960.82,4499.51,5651.12,543.43,292.88,-111.69,-4107.31,-34333.82,1895.3,23153.01,-6078.88,210.0,-556.77,-5868.89,-6425.65
216,1967.33,4503.3,5662.51,541.98,273.61,-130.03,-4120.28,-34216.14,1908.16,23127.91,-6164.14,209.53,-481.67,-5954.62,-6436.28
217,1976.44,4502.8,5637.14,565.15,290.64,-135.8,-4065.75,-34268.3,1924.16,23064.44,-6122.48,209.79,-509.07,-5912.69,-6421.76
218,1995.94,4456.8,5666.16,557.11,280.03,-137.82,-4089.31,-34220.93,1887.53,23087.31,-6118.45,212.99,-517.18,-5905.46,-6422.64
219,1903.77,4511.38,5618.38,567.81,292.66,-127.35,-4126.06,-34292.04,1896.82,23147.05,-6126.56,211.65,-607.58,-5914.91,-6522.49
220,1862.83,4497.66,5638.15,540.42,279.05,-112.38,-4091.52,-34255.59,1927.18,23075.35,-6132.58,210.41,-638.85,-5922.17,-6561.02
221,1947.26,4503.97,5635.91,555.09,293.59,-136.93,-4101.89,-34450.94,1885.25,23035.05,-5900.32,211.18,-833.64,-5689.14,-6522.79
222,1914.86,4527.2,5639.83,537.55,293.4,-106.11,-4062.99,-34326.96,1898.5,23086.75,-6026.31,212.28,-597.96,-5814.03,-6411.99
223,1912.03,4434.12,5610.66,539.14,276.48,-120.56,-4122.62,-34308.28,1899.33,23095.61,-6026.26,209.19,-784.1,-5817.07,-6601.16
224,1968.25,4543.16,5634.19,551.4,283.74,-129.53,-4084.69,-34313.28,1921.85,23013.52,-6056.43,213.36,-611.38,-5843.07,-6454.45
225,1954.56,4534.62,5639.7,539.23,289.35,-120.61,-4125.04,-34405.24,1922.93,23029.22,-5980.66,211.46,-741.3,-5769.2,-6510.49
226,1967.12,4419.43,5622.19,566.82,298.15,-87.31,-4092.36,-34373.83,1920.28,23104.96,-6027.36,211.44,-654.54,-5815.92,-6470.46
227,1954.5,4574.49,5638.0,554.53,283.89,-116.26,-4109.78,-34228.27,1894.16,23052.86,-6129.5,211.11,-501.89,-5918.38,-6420.28
228,1896.72,4530.54,5633.45,558.64,298.58,-134.06,-4083.76,-34262.51,1926.95,23170.1,-6202.71,212.55,-465.34,-5990.16,-6455.51
229,1936.36,4458.99,5639.51,545.62,301.82,-130.85,-4100.53,-34348.57,1912.33,23189.7,-6143.3,211.18,-595.63,-5932.12,-6527.74
230,1954.63,4511.96,5546.74,538.97,250.91,-89.11,-4071.3,-34223.27,1898.36,23131.46,-6231.62,217.42,-550.64,-6014.2,-6564.84
231,1876.27,4490.97,5640.28,539.17,267.72,-127.45,-4058.45,-34098.03,1919.79,23195.27,-6340.33,217.12,-354.47,-6123.21,-6477.68
232,1971.16,4491.55,5604.71,546.41,289.81,-105.28,-4122.49,-34011.31,1869.91,23147.09,-6315.67,216.16,-318.44,-6099.51,-6417.96
233,1912.35,4475.08,5608.3,545.58,290.39,-108.53,-4080.13,-34121.32,1899.84,23191.12,-6322.55,216.65,-387.32,-6105.89,-6493.21
234,1907.09,4441.99,5612.71,550.66,278.46,-129.78,-4072.17,-34273.04,1895.81,23022.25,-6075.53,211.95,-766.01,-5863.59,-6629.6
235,1935.43,4538.72,5634.87,542.67,294.11,-162.74,-4016.33,-34405.39,1930.39,23127.46,-6061.06,212.46,-580.81,-5848.6,-6429.42
236,1950.4,4501.06,5556.19,564.34,291.2,-113.35,-4077.42,-34401.12,1933.49,23173.08,-6061.16,214.29,-622.13,-5846.86,-6468.99
237,1950.77,4470.1,5615.34,534.25,295.29,-133.97,-4088.34,-34498.0,1917.14,23134.28,-5971.09,212.27,-803.13,-5758.81,-6561.94
238,1912.43,4442.8,5642.56,558.39,290.89,-151.27,-4055.06,-34462.65,1916.57,23169.97,-5968.36,211.54,-735.39,-5756.82,-6492.21
