GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1914.09,4393.84,5711.81,562.27,274.24,-73.2,-4304.65,-34713.88,1913.0,22993.26,-5627.46,184.49,-1329.21,-5442.97,-6772.18
2,2020.24,4558.79,5666.66,576.43,315.42,-89.59,-4182.95,-34534.15,1863.65,22942.8,-5827.27,197.02,-862.7,-5630.25,-6492.95
3,1934.76,4527.06,5680.95,542.67,275.03,-74.74,-4159.64,-34454.48,1896.74,22938.75,-5929.95,199.2,-892.88,-5730.75,-6623.63
4,1951.51,4461.51,5724.35,547.47,300.38,-112.98,-4159.11,-34544.78,1879.17,22959.22,-5819.49,195.43,-993.27,-5624.05,-6617.32
5,1982.21,4431.49,5670.98,545.9,277.05,-92.32,-4128.57,-34590.01,1904.55,22959.25,-5825.16,198.05,-1039.47,-5627.12,-6666.59
6,1910.64,4552.62,5634.66,549.19,294.53,-52.63,-4133.95,-34430.31,1913.62,22936.79,-5933.71,197.65,-824.84,-5736.06,-6560.9
7,1936.64,4564.31,5663.74,567.64,277.32,-100.11,-4204.44,-34345.66,1897.94,23046.33,-6030.52,197.73,-696.29,-5832.79,-6529.08
8,1893.71,4399.47,5622.99,546.09,293.95,-102.58,-4122.19,-34535.26,1938.28,23005.48,-5923.3,197.84,-1060.07,-5725.46,-6785.53
9,1941.72,4530.29,5650.62,551.92,279.56,-99.77,-4087.83,-34510.22,1913.06,22977.1,-5886.05,199.29,-853.56,-5686.76,-6540.31
10,1945.15,4495.83,5683.94,547.17,301.42,-64.21,-4137.95,-34432.01,1901.51,23072.38,-5986.9,200.69,-686.79,-5786.21,-6473.0
11,1895.01,4502.74,5696.49,557.3,305.5,-80.47,-4130.09,-34556.07,1895.4,23125.67,-5907.59,202.16,-788.5,-5705.43,-6493.93
12,1979.37,4451.52,5660.66,550.63,287.33,-96.17,-4109.62,-34213.14,1866.53,22945.11,-6162.91,206.69,-677.78,-5956.22,-6634.0
13,1918.65,4496.81,5673.76,556.45,298.51,-88.97,-4155.96,-34057.48,1888.94,22992.73,-6249.71,206.33,-476.56,-6043.38,-6519.94
14,1945.66,4624.61,5680.29,550.71,288.01,-115.49,-4190.99,-34132.1,1839.64,23065.22,-6216.93,207.51,-444.44,-6009.41,-6453.86
15,1928.85,4595.92,5668.95,532.4,298.14,-92.38,-4149.72,-34099.45,1857.72,23033.5,-6282.12,203.9,-426.07,-6078.22,-6504.29
16,1929.73,4477.82,5654.87,544.33,284.85,-102.96,-4069.28,-34421.3,1911.57,23046.85,-6007.88,206.44,-743.52,-5801.43,-6544.96
17,1916.37,4491.9,5629.23,546.62,291.05,-84.39,-4074.57,-34347.35,1924.41,22991.73,-6093.99,209.99,-715.01,-5884.0,-6599.01
18,1934.26,4549.8,5634.45,548.5,283.91,-109.71,-4073.18,-34257.62,1855.71,22952.36,-6084.47,209.16,-681.53,-5875.3,-6556.83
19,1887.79,4637.92,5625.85,567.34,290.09,-125.79,-4135.06,-34227.21,1894.08,22907.67,-6069.84,206.8,-677.31,-5863.03,-6540.35
20,1976.89,4508.43,5661.92,551.11,299.73,-96.71,-4124.24,-34511.52,1873.32,22957.4,-5887.94,204.08,-903.66,-5683.87,-6587.53
21,1836.36,4526.94,5599.63,545.51,260.69,-97.83,-4126.9,-34314.53,1873.43,23016.22,-6032.84,206.03,-880.47,-5826.81,-6707.28
22,1903.06,4621.54,5667.05,559.31,282.74,-123.32,-4137.07,-34269.07,1871.21,22878.24,-6041.13,205.22,-746.31,-5835.9,-6582.22
23,1954.79,4442.06,5674.22,536.91,269.63,-84.97,-4100.46,-34271.01,1903.54,22990.45,-6084.06,205.93,-684.86,-5878.13,-6562.99
24,1896.74,4471.03,5654.59,556.89,283.94,-110.25,-4077.02,-34378.5,1908.01,22911.03,-6002.42,205.01,-883.55,-5797.41,-6680.96
25,1963.78,4527.68,5628.35,549.83,293.6,-94.86,-4118.09,-34257.4,1865.85,22876.63,-6078.1,209.41,-764.64,-5868.69,-6633.33
26,1945.28,4521.49,5697.93,563.46,297.54,-90.99,-4090.43,-34213.23,1888.71,22920.17,-6093.12,206.52,-560.07,-5886.6,-6446.66
27,1917.16,4538.89,5620.49,546.54,282.72,-111.11,-4094.64,-34455.77,1924.74,22960.99,-6010.62,209.6,-869.99,-5801.01,-6671.0
28,1966.6,4457.49,5644.71,550.37,289.77,-112.85,-4085.44,-34358.02,1880.33,22994.69,-6055.22,207.25,-772.34,-5847.97,-6620.32
29,1959.41,4553.57,5568.28,550.12,276.73,-102.91,-4136.39,-34372.75,1880.28,23019.84,-6017.99,208.07,-803.82,-5809.92,-6613.74
30,2009.02,4497.13,5601.99,557.9,275.04,-85.46,-4065.67,-34369.05,1886.42,22878.84,-6007.78,209.46,-813.84,-5798.32,-6612.16
31,1950.02,4539.49,5664.37,553.54,286.66,-110.47,-4153.39,-34192.33,1863.08,22920.6,-6118.75,208.15,-678.43,-5910.6,-6589.03
32,1875.86,4518.37,5537.89,561.07,268.75,-110.61,-4098.82,-34412.86,1899.49,23018.72,-6006.26,208.41,-942.13,-5797.84,-6739.98
33,1980.04,4458.0,5613.93,559.13,300.17,-106.4,-4093.11,-34467.03,1901.09,23045.04,-6025.0,206.86,-809.15,-5818.14,-6627.3
34,1907.21,4499.05,5622.09,551.65,281.19,-102.1,-4108.98,-34508.9,1896.58,23141.59,-6011.8,209.67,-820.62,-5802.13,-6622.76
35,1931.11,4509.43,5635.98,547.64,278.54,-122.48,-4080.43,-34182.17,1880.65,23009.25,-6246.56,210.61,-592.49,-6035.94,-6628.43
36,1973.65,4558.4,5613.49,566.15,295.75,-92.86,-4062.88,-34387.87,1897.21,23022.68,-6090.22,215.71,-616.28,-5874.51,-6490.79
37,2006.19,4447.31,5580.42,553.64,290.57,-89.16,-4094.37,-34377.15,1883.25,22980.04,-6061.35,211.33,-819.26,-5850.02,-6669.28
38,1969.77,4571.63,5628.24,558.98,283.03,-134.4,-4090.77,-34479.75,1879.14,22971.82,-5939.11,212.4,-842.33,-5726.71,-6569.04
39,1978.96,4533.78,5624.73,541.98,269.13,-96.93,-4071.55,-34305.54,1873.79,22910.46,-6045.42,211.78,-741.2,-5833.64,-6574.84
40,1971.07,4541.11,5686.06,560.74,289.92,-112.13,-4117.39,-34315.39,1911.78,23025.88,-6143.48,208.9,-558.34,-5934.59,-6492.93
41,1970.17,4474.41,5601.83,547.22,289.7,-90.6,-4088.06,-34461.55,1890.26,23029.89,-5998.23,211.01,-836.74,-5787.21,-6623.95
42,1924.68,4538.45,5676.25,542.13,308.37,-109.69,-4073.53,-34392.57,1883.65,23033.65,-6053.64,210.94,-668.61,-5842.7,-6511.31
43,1920.81,4413.36,5643.61,532.78,312.47,-111.85,-4118.51,-34460.94,1897.71,23045.23,-5960.24,210.16,-925.34,-5750.08,-6675.42
44,1863.29,4468.52,5633.6,536.14,277.6,-119.42,-4032.01,-34518.5,1945.43,23052.23,-5934.99,211.79,-893.12,-5723.2,-6616.32
45,1923.78,4596.38,5553.91,545.89,299.38,-117.73,-4002.05,-34428.02,1896.52,23027.95,-5993.01,213.23,-703.99,-5779.78,-6483.77
46,1916.1,4523.74,5624.11,558.8,317.92,-84.35,-4044.17,-34447.21,1901.49,22914.68,-5925.21,212.6,-818.89,-5712.61,-6531.5
47,1926.41,4576.58,5612.52,547.66,283.78,-102.23,-4046.09,-34435.09,1906.14,22922.25,-5929.69,213.5,-808.08,-5716.19,-6524.27
48,1912.54,4582.24,5622.51,567.37,278.56,-115.2,-4075.29,-34655.43,1918.19,22901.7,-5718.54,210.77,-1062.8,-5507.77,-6570.57
49,1936.21,4558.31,5662.93,548.33,279.03,-117.91,-4113.36,-34592.76,1879.94,22915.71,-5773.0,210.29,-1043.56,-5562.71,-6606.27
50,1969.15,4575.91,5603.34,563.07,289.56,-107.3,-4078.63,-34568.47,1875.09,23015.56,-5861.76,210.02,-862.71,-5651.74,-6514.45
51,1948.11,4527.94,5597.34,555.7,288.3,-117.54,-4066.04,-34477.57,1880.0,23014.06,-5942.45,213.13,-849.7,-5729.32,-6579.03
52,1978.35,4598.38,5613.67,569.48,301.66,-93.8,-4068.55,-34628.81,1872.27,22998.77,-5837.3,209.34,-858.59,-5627.95,-6486.55
53,1911.75,4597.73,5524.81,556.75,284.92,-128.62,-4084.89,-34638.15,1903.71,22979.31,-5745.98,207.76,-1092.69,-5538.22,-6630.91
54,1947.36,4480.87,5627.88,544.81,298.51,-105.77,-4047.44,-34648.34,1914.02,23022.88,-5775.98,210.94,-965.2,-5565.04,-6530.24
55,1974.74,4540.45,5641.94,551.08,298.72,-110.51,-4087.31,-34384.65,1893.44,22894.31,-5979.56,210.86,-787.78,-5768.7,-6556.48
56,2013.97,4489.22,5607.42,542.74,260.19,-93.75,-4104.69,-34507.25,1883.51,22993.3,-5892.49,209.05,-915.34,-5683.44,-6598.78
57,1919.12,4563.87,5609.67,538.57,303.53,-83.61,-4075.53,-34320.08,1876.53,22990.14,-6090.55,210.76,-677.8,-5879.79,-6557.59
58,1901.75,4489.16,5632.9,551.98,297.11,-119.82,-4089.86,-34412.7,1903.38,23030.68,-6005.0,210.67,-815.42,-5794.34,-6609.75
59,1875.49,4475.57,5606.26,539.56,295.31,-105.64,-4054.97,-34530.03,1924.2,23025.22,-5902.22,209.58,-949.03,-5692.64,-6641.67
60,1934.82,4537.42,5648.11,564.98,300.5,-83.96,-4153.54,-34507.09,1877.31,23021.67,-5917.98,206.53,-859.79,-5711.45,-6571.24
61,1964.68,4563.41,5646.59,554.84,285.25,-70.39,-4091.35,-34581.89,1903.06,23008.64,-5868.97,208.69,-817.15,-5660.28,-6477.43
62,1930.97,4505.44,5582.17,553.96,281.88,-69.69,-4155.07,-34470.06,1900.01,22958.69,-5866.99,207.64,-981.7,-5659.35,-6641.05
63,1961.94,4568.23,5604.53,557.7,270.36,-87.26,-4139.3,-34408.72,1902.79,22883.04,-5936.09,208.45,-886.7,-5727.64,-6614.34
