GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
801,1963.66,4586.8,5599.47,558.76,305.48,-94.06,-4105.32,-33701.83,1867.47,22992.54,-6641.85,210.63,-27.03,-6431.22,-6458.24
802,1929.93,4452.62,5626.29,534.22,302.91,-97.33,-4097.11,-33962.45,1932.92,23029.28,-6456.32,212.81,-348.71,-6243.52,-6592.23
803,1927.67,4534.3,5642.0,538.99,302.62,-130.31,-4103.2,-34020.62,1893.03,23095.36,-6405.08,212.0,-320.17,-6193.08,-6513.25
804,2029.96,4515.99,5670.67,550.51,301.43,-101.97,-4092.06,-33965.93,1868.82,23030.68,-6436.36,214.38,-191.91,-6221.98,-6413.89
805,1929.88,4556.99,5615.88,552.7,288.18,-114.8,-4100.71,-33993.29,1875.37,22932.37,-6352.42,209.97,-457.45,-6142.45,-6599.9
806,2002.49,4488.0,5612.37,546.27,292.36,-127.57,-4055.32,-34048.1,1907.74,23012.59,-6390.23,212.5,-369.16,-6177.73,-6546.89
807,1934.91,4486.56,5628.96,554.45,283.41,-123.28,-4068.96,-33901.71,1893.68,23083.1,-6540.24,213.93,-228.89,-6326.31,-6555.2
808,1978.77,4540.62,5681.09,547.69,300.49,-102.01,-4071.79,-34188.11,1881.89,23079.97,-6340.76,211.1,-351.39,-6129.65,-6481.04
809,1923.92,4514.0,5550.53,543.41,273.47,-85.39,-4044.9,-34002.83,1911.19,23032.07,-6473.95,210.37,-384.51,-6263.58,-6648.09
810,1975.1,4542.73,5583.48,559.37,299.22,-128.64,-4114.88,-33998.55,1913.05,22941.17,-6379.32,208.48,-427.96,-6170.84,-6598.8
811,1959.01,4420.7,5589.86,546.07,289.27,-110.79,-4078.2,-34128.45,1915.16,23153.47,-6413.81,212.62,-443.91,-6201.18,-6645.09
812,1928.34,4426.7,5632.67,544.4,307.04,-108.41,-4104.84,-34082.25,1907.35,23198.91,-6444.55,213.77,-350.1,-6230.78,-6580.88
813,1974.49,4520.22,5599.76,552.95,301.57,-102.68,-4119.12,-33925.28,1901.28,23049.56,-6453.78,206.85,-247.25,-6246.93,-6494.19
